
    extracash   visa2      car2   personalloa  visa1      car     bigfund   Balance  
--------------------------------------------------------------------------------
1.  ..........      230       320       200       142       550        20    74387.0
2.  ..........      230       320       200       142       550        20    73239.0
3.  ..........      230       320       200       142       550        20    72084.0
4.  ..........      230       320       200       142       550        20    70919.0
5.  ..........      230       320       200       142       550        20    69747.0
6.  ..........      230       320       200       142       550        20    68566.0
7.  ..........      230       320       200       142       550        20    67376.0
8.  ..........      230       320       200       142       550        20    66177.0
9.  ..........      230       320       200       142       550        20    64970.0
10. ..........      230       320       200       142       550        20    63753.0
11. ..........      230       320       200       142       550        20    62526.0
12. ..........      230       320       200       142       550        20    61291.0
13. ..........      230        84       436       142       550        20    60048.0
14. ..........      196 ..........      554       142       550        20    58791.0
15. ..............................      750       142       550        20    57517.0
16. ..............................      750       142       550        20    56226.0
17. ..............................      750       142       550        20    54916.0
18. ..............................      684       208       550        20    53588.0
19. ........................................      892       550        20    52245.0
20. ........................................      892       550        20    50888.0
21. ........................................      892       550        20    49517.0
22. ........................................      892       550        20    48132.0
23. ........................................      632       810        20    46733.0
24. ..................................................     1442        20    45324.0
25. ..................................................     1442        20    43911.0
26. ..................................................     1442        20    42494.0
27. ..................................................     1442        20    41072.0
28. ..................................................     1442        20    39646.0
29. ..................................................     1442        20    38216.0
30. ..................................................     1442        20    36782.0
31. ..................................................     1442        20    35343.0
32. ..................................................     1442        20    33900.0
33. ..................................................     1442        20    32453.0
34. ..................................................     1442        20    31001.0
35. ..................................................     1442        20    29545.0
36. ..................................................     1237       225    28086.0
37. ............................................................     1462    26624.0
38. ............................................................     1462    25162.0
39. ............................................................     1462    23700.0
40. ............................................................     1462    22238.0
41. ............................................................     1462    20776.0
42. ............................................................     1462    19314.0
43. ............................................................     1462    17852.0
44. ............................................................     1462    16390.0
45. ............................................................     1462    14928.0
46. ............................................................     1462    13466.0
47. ............................................................     1462    12004.0
48. ............................................................     1462    10542.0
49. ............................................................     1462     9080.0
50. ............................................................     1462     7618.0
51. ............................................................     1462     6156.0
52. ............................................................     1462     4694.0
53. ............................................................     1462     3232.0
54. ............................................................     1462     1770.0
55. ............................................................     1462      308.0
56. ............................................................     1317    -1009.0
